"NAME","TEL","URL","ADRESS1","ZIP","longtitude","latitude"
"Alexander Hamilton U.S. Custom House","(212) 514-3700","http://www.oldnycustomhouse.gov/","1 Bowling Grn",10004,-74.0137557951974,40.703816216918
"Alice Austen House Museum","(718) 816-4506","http://www.aliceausten.org/","2 Hylan Blvd",10305,-74.0630317885511,40.615120837755
"American Academy of Arts and Letters","(212) 368-5900","http://www.artsandletters.org/","633 W. 155th St.",10032,-73.9472976854157,40.833853500753
"American Folk Art Museum","(212) 265-1040","http://www.folkartmuseum.org/","45 West 53rd Street",10019,-73.9781030211,40.761624971385
"American Immigration History Center","(212) 363-3200","http://www.ellisisland.org/","Ellis Island",0,-74.0396848374904,40.6990562624439
"American Museum of Natural History","(212) 769-5100","http://www.amnh.org/","Central Park West at 79th Street",10024,-73.9736481637782,40.780826234576
"American Numismatic Society","(212) 571-4470","http://www.numismatics.org/","75 Varick St",10013,-74.0070118792087,40.723526592628
"Americas Society","(212) 249-8950","http://as.americas-society.org/","680 Park Ave.",10021,-73.9659704525836,40.768824228952
"Anne Frank Center USA","(212) 431-7993","http://www.annefrank.com/","38 Crosby Street",10012,-73.9996303690309,40.721127449476
"Asia Society","(212) 288-6400","http://www.asiasociety.org/","725 Park Avenue",10021,-73.9642839572661,40.769833782653
"Audubon Terrace","","http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html","Broadway at 155 Street",10032,-73.9465459049433,40.83358228246
"Bartow-Pell Mansion","(718) 885-1461","http://bartowpellmansionmuseum.org/index.php","895 Shore Road",10464,-73.8055794999576,40.871778316782
"Bowne House","(718) 359-0528","http://www.bownehouse.org/","37-01 Bowne Street",11354,-73.8248904638562,40.762886331946
"Bronx Historical Society & Musem","(718) 881-8900","http://www.bronxhistoricalsociety.org/","3309 Bainbridge Ave",10467,-73.8797487400356,40.878236441348
"Bronx Museum of the Arts (BXMA)","(718) 681-6000","http://www.bronxmuseum.org/","1040 Grand Concourse",10456,-73.9197501772483,40.831029779928
"Brooklyn Children's Museum","(718) 735-4400","http://www.brooklynkids.org/","145 Brooklyn Avenue",11213,-73.9440160138375,40.674506996099
"Brooklyn Historical Society","(718) 222-4111","http://www.brooklynhistory.org/default/index.html","128 Pierrepont Street",11201,-73.9924054039313,40.69480297491
"Brooklyn Museum","(718) 638-5000","http://www.brooklynmuseum.org/","200 Eastern Parkway",11238,-73.9635850679766,40.671083212126
"Chelsea Art Museum","(212) 255-0719","http://www.chelseaartmuseum.org/","556 West 22nd Street",10011,-74.0073155337426,40.747897602067
"Children's Museum of Manhattan","(212) 721-1234","http://www.cmom.org/","212 West 83rd Street",10024,-73.9772739196817,40.785870921067
"Children's Museum of the Arts","(212) 274-0986","http://cmany.org/intro.php?pn=home","182 Lafayette Street",10012,-73.9988383609048,40.72074946881
"Cloisters","(212) 923-3700","http://www.metmuseum.org/cloisters/","99 Margaret Corbin Drive",10040,-73.9317340870604,40.864923635748
"Coney Island Museum","(718) 372-5159","http://www.coneyisland.com/","1208 Surf Ave",11224,-73.9798559841527,40.57526324252
"Cooper-Hewitt, National Design Museum","(212) 849-8400","http://www.cooperhewitt.org/","2 East 91st Street",10128,-73.9577816197546,40.784325739936
"Dahesh Museum","(212) 759-0606","http://www.daheshmuseum.org","580 Madison Avenue",10022,-73.9730419014211,40.762106972962
"Dia at the Hispanic Society","(845) 440-0100","http://www.diabeacon.org/","613 West 155th Street",10032,-73.9464931816967,40.833302109701
"Dia Art Foundation","(212) 989 5566","http://www.diacenter.org/","535 W 22nd Street",10011,-74.0061353757862,40.747894926234
"Discovery Times Square Exposition","(866) 987-9692","http://www.discoverytsx.com/nyc/","226 W 44th St",1036,-73.9873186395944,40.757501085511
"Drawing Center","(212) 219-2166","http://www.drawingcenter.org/about_visit.cfm","35 Wooster St.",10013,-74.0029041720417,40.722451188527
"Dyckman Farmhouse","(212) 304-9422","http://www.dyckmanfarmhouse.org/","4881 Broadway",10034,-73.9238391474876,40.867130920935
"East Village History Project","(212) 614-8702","http://leshp.org/","308 Bowery",10012,-73.9927230622582,40.724959704166
"El Museo del Barrio","(212) 831-7272","http://www.elmuseo.org/","1230 Fifth Ave",10029,-73.9513676011167,40.793098920789
"Ellis Island Museum","(212) 363-3200","http://www.ellisisland.org/","Ellis Island",0,-74.0413216179424,40.698207553302
"Fraunces Tavern Museum","(212) 425-1778","http://www.frauncestavernmuseum.org/","54 Pearl Street",10004,-74.0113392631792,40.703399275987
"Frick Collection","(212) 288-0700","http://www.frick.org/","1 E. 70th Street",10021,-73.9670804053981,40.771054653505
"Garibaldi-Meucci Museum","(718) 442-1608","http://statenislandusa.com/pages/garibaldi.html","420 Tompkins Avenue",10305,-74.0738777429074,40.615165224015
"Goethe-Institut New York","(212) 439-8700","http://www.goethe.de/ins/us/ney/deindex.htm","1014 Fifth Avenue",10028,-73.9617420401523,40.779165640852
"Gracie Mansion","(212)-570-4751","http://www.nyc.gov/html/om/html/gracie.html","89th Street at East End Avenue",10128,-73.9430684626868,40.7761134500303
"Hall Of Fame For Great Americans","(718) 289-5161","http://www.bcc.cuny.edu/hallofFame/","Hall of Fame Terrace & Sedgwick Avenue",10453,-73.9139796291803,40.858747169788
"Harbor Defense Museum of Fort Hamilton","(718) 630-4349","http://www.harbordefensemuseum.com/","230 Sheridan Loop",11252,-74.0323107757336,40.609008668506
"Hispanic Society of America Museum","(212) 926-2234","http://www.hispanicsociety.org/","613 West 155th Street",10032,-73.9468228223052,40.833452146758
"Holocaust Museum & Studies Center","(718) 817-7700","http://www.holocauststudies.org/","75 W 205th St",10468,-73.8909878438411,40.87835786499
"Hudson Waterfront Museum and Showboat Barge","(718) 624-4719","http://www.waterfrontmuseum.org/","290 Conover St.",11231,-74.0180869430956,40.675571934874
"International Center of Photography","(212) 857-0000","http://www.icp.org/","1133 Avenue Of The Americas",10036,NA,0.7560211512226
"Intrepid Sea-Air-Space Museum","(212) 245-0072","http://www.intrepidmuseum.org/","Pier 86 12th Ave. & 46th Street",10036,-74.0008918064129,40.7647832739416
"Isamu Noguchi Garden Museum","(718) 204-7088","http://www.noguchi.org/","32-37 Vernon Boulevard",11106,-73.9376551450383,40.766956613052
"Italian American Museum","(212) 965-9000","http://www.italianamericanmuseum.org/","155 Mulberry St.",10013,-73.9974941068757,40.71919462821
"Jackie Robinson Museum","(212) 290-8600","http://www.jackierobinson.org/","1 Hudson Square",10013,-74.0066418551635,40.723350662253
"Jacques Marchais Center Museum of Tibetan Art","(718) 987-3500","http://www.tibetanmuseum.org/","338 Lighthouse Avenue",10306,-74.1381233658255,40.576312835305
"Jeffrey's Hook lighthouse (Little Red Lighthouse)","(212) 304-2365","http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html","178th Street at the Hudson River",10033,-73.9469449451473,40.850220034849
"Jewish Museum","(212) 423-3200","http://www.thejewishmuseum.org/index.php","1109 Fifth Ave",10128,-73.9571870593106,40.785402256425
"John J. Harvey Fireboat","","http://www.fireboat.org/","Pier 66 at West 26th Street",10001,-74.0096548373357,40.752330197327
"King Manor Museum","(718) 206-0545","http://www.kingmanor.org/","152-01 Jamaica Avenue",11432,-73.8037606206352,40.703042019259
"Kingsland Homestead","(718) 206-0545","http://www.queenshistoricalsociety.org/kingsland.html","143-35 37th Avenue",11354,-73.8241564188993,40.763595705057
"LaGuardia and Wagner Archives","(718) 482-5065","http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm","31-10 Thomson Ave.",11101,-73.9351456799957,40.743960072462
"Lee Young Hee Museum of Korean Culture","(212) 560-0722","http://www.lyhkm.org/","2 West 32nd Street",10001,-73.9861883305829,40.747197094972
"Lefferts Historic House","(718) 789-2822","http://www.prospectpark.org/visit/places/lefferts","Prospect Park Willink Entrance",11215,-73.9638141612524,40.664379955949
"Madame Tussauds Wax Museum","(800) 246-8872","http://www.madametussauds.com/NewYork/","234 W. 42nd Street",10036,-73.9887022614006,40.756318163058
"Merchant's House Museum","(212) 777-1089","http://www.merchantshouse.com/","29 East Fourth Street",10003,-73.9923460479088,40.727657417245
"Metropolitan Museum of Art (MET)","(212) 535-7710","http://www.metmuseum.org/","1000 Fifth Avenue",10028,-73.9634511114527,40.77942354199
"Mexican Cultural Institute of New York","(212) 217-6422","http://www.lavitrina.com/","27 E. 39th St.",10016,-73.9798811795289,40.750784366783
"Morgan Library and Museum","(212) 685-0008","http://www.themorgan.org/home.asp","225 Madison Avenue",10016,-73.981321485616,40.749295072496
"Morris-Jumel Mansion","(212) 923-8008","http://www.morrisjumel.org/","65 Jumel Terrace",10032,-73.9385743879273,40.834447679265
"Mount Vernon Hotel Museum & Garden","(212) 838-6878","http://www.mvhm.org/","421 East 61 Street",10021,-73.9597108292812,40.760525784474
"Municipal Art Society","(212) 935-3960","http://mas.org/","457 Madison Avenue",10022,-73.9749998703506,40.758248305307
"Museum for African Art","(718) 784-7700","http://www.africanart.org/","36-01 43rd Avenue",11101,-73.9282239110429,40.746341738272
"Museum of American Finance","(212) 908-4110","http://www.moaf.org/index","48 Wall Street",10005,-74.0091216039426,40.706484588627
"Museum of American Illustration","(212) 838-2560","http://societyillustrators.org/museum/index.cms","128 E. 63d St.",10021,-73.9669003099795,40.764715622443
"Museum of Arts & Design (MAD)","(212) 299-7777","http://www.madmuseum.org/","2 Columbus Circle",10019,-73.9820072514294,40.767406073957
"Museum of Biblical Art","(212) 408-1200","http://www.mobia.org/","1865 Broadway",10023,-73.9827258423553,40.770252409862
"Museum Of Chinese In America","(212) 619-4785","http://www.mocanyc.org/","215 Centre Street",10013,-73.9991919194223,40.719453946338
"Museum of Comic and Cartoon Art (MoCCA)","(212) 254 3511","http://www.moccany.org/","594 Broadway",10012,-73.9967024758349,40.724797945642
"Museum of Contemporary African Diasporan Arts (MoCADA)","(718) 230-0492","http://www.mocada.org/","80 Hanson Place",11217,-73.9744247766478,40.68524514383
"Museum of Jewish Heritage","(646) 437-4200","http://www.mjhnyc.org/index.htm","36 Battery Place",10280,-74.0185857158861,40.705986647371
"Museum of Modern Art (MoMA)","(212) 708-9400","http://www.moma.org/","11 West 53rd Street",10019,-73.9770036315209,40.761186641024
"Museum of the City of New York","(212) 534-1672","http://www.mcny.org","1220 Fifth Avenue",10029,-73.9519169746288,40.79250903451
"Museum of the Moving Image","(718) 784-4520","http://www.movingimage.us/site/site.php","35 Avenue at 36 Street",11106,-73.9245101725219,40.756944487412
"National Academy Museum","(212) 369-4880","https://nationalacademy.org/index.asp","1083 5th Avenue",10128,-73.9584917736921,40.783613167204
"National Lighthouse Museum","(718) 556-1681","http://statenislandusa.com/pages/lighthouse.html","1 Lighthouse Plaza",10301,-74.073737130576,40.640949015579
"National Museum of the American Indian","(212) 514-3700","http://www.nmai.si.edu/","1 Bowling Green",10004,-74.013727045982,40.704321256986
"National September 11 Memorial & Museum at the World Trade Center","(212) 227-7722","http://www.911memorial.org/","1 Liberty Plaza",10006,-74.010915661311,40.709654487477
"Neue Galerie New York","(212) 628-6200","http://www.neuegalerie.org/","1048 Fifth Avenue",10028,-73.9602481260631,40.781242335837
"New Museum of Contemporary Art","(212) 219-1222","http://www.newmuseum.org/","235 Bowery",10002,-73.9928387925007,40.722346701845
"New York City Fire Museum","(212) 691-1303","http://www.nycfiremuseum.org/","278 Spring Street",10012,-74.0069342609417,40.725571805839
"New York City Police Museum","(212) 480-3100","http://www.nycpolicemuseum.org/","100 Old Slip",10038,-74.008117544019,40.703478290827
"New York Hall of Science","(718) 699-0005","http://www.nysci.org/","47-01 111th Street",11368,-73.8516867956856,40.747147787858
"New York Historical Society","(212) 873-3400","https://www.nyhistory.org/web/","2 West 77th Street",10024,-73.9742575384457,40.779273241393
"New York Tolerance Center","(212) 697-1180","http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506","50 E 42nd St",10017,-73.9791241123914,40.752422920262
"New York Transit Museum","(718) 694-4915","http://www.mta.info/mta/museum/","Boerum Pl. & Schermenhorn Street",0,-73.9900259713183,40.6905236981263
"Nicholas Roerich Museum","(212) 864-7752","http://www.roerich.org/","319 West 107 Street",10025,-73.9690224972334,40.802913999614
"Noble Maritime Collection","(718) 447-6490","http://www.noblemaritime.org/","1000 Richmond Terrace",10301,-74.101772036306,40.644311944423
"Old Stone House","(718) 768-3195","http://www.theoldstonehouse.org/","326 5th Avenue",11215,-73.9846186146839,40.672993473207
